model,train_f1,train_accuracy,train_precision,train_recall,test_f1,test_accuracy,test_precision,test_recall
xgboost,0.7312712956448746,0.7650614091790562,0.7289859165390232,0.7650614091790562,0.8096587622903412,0.8289473684210527,0.8262383900928792,0.8289473684210527
randomforest,0.6992646591902947,0.766529304029304,0.7155973046866148,0.762136393018746,0.7504095757496113,0.7960526315789473,0.7409320942215679,0.7960526315789473
svm,0.6571459329300062,0.7569812540400775,0.7288719839498545,0.7569812540400775,0.73302822273074,0.8157894736842105,0.6655124653739612,0.8157894736842105
logreg,0.6663074813115671,0.7606469510881275,0.6968744542636705,0.7606469510881275,0.771210407239819,0.8289473684210527,0.7865398293029872,0.8289473684210527
lightgbm,0.7221099087264597,0.750379767291532,0.7107498855985345,0.750379767291532,0.8016709973463069,0.8157894736842105,0.7991427432216905,0.8157894736842105
