model,train_f1,train_accuracy,train_precision,train_recall,test_f1,test_accuracy,test_precision,test_recall
xgboost,0.6886005031520338,0.7070324283559579,0.6883524681551262,0.7070324283559579,0.6608894883086073,0.6907894736842105,0.7204994019138756,0.6907894736842105
randomforest,0.6663058959260817,0.7070378151260505,0.6847713806967576,0.6879282482223659,0.6521344248471646,0.6907894736842105,0.7138309483385885,0.6907894736842105
svm,0.6507346033085559,0.7019042232277525,0.6657675347241371,0.7019042232277525,0.6590497737556561,0.7171052631578947,0.6339285714285715,0.7171052631578947
logreg,0.6937614481531597,0.7371525533290239,0.7062676121172313,0.7371525533290239,0.7116281321136751,0.756578947368421,0.7835443387881468,0.756578947368421
lightgbm,0.6731023788708395,0.6908828916181858,0.6707164375882615,0.6908828916181858,0.6788989519252676,0.7039473684210527,0.6864588656106285,0.7039473684210527
